sample_id,day,cell_line,library_size,diff_batch,lib_batch,extraction_person,extraction_round,line_beating_day,avg_troponin_late,avg_nanog_late,day_factor,day_numeric,lib_size_zmad,flag_lib_size,mt_frac,flag_mt,rle_median,flag_rle,rin,pct_duplicates,pct_gc,total_sequences,flag_pct_dup
18489_10,10,18489,22675767,I,3,Reem,6,7,1.43840217,-0.4936123,10,10,-0.527091214909547,FALSE,NA,FALSE,-0.00804079161800786,FALSE,NA,NA,NA,NA,FALSE
18489_11,11,18489,20557508,I,3,Reem,6,7,1.43840217,-0.4936123,11,11,-0.914355182248404,FALSE,NA,FALSE,-0.00141180469319391,FALSE,NA,NA,NA,NA,FALSE
18489_12,12,18489,21767677,I,3,Reem,6,7,1.43840217,-0.4936123,12,12,-0.69310988217391,FALSE,NA,FALSE,-0.0186337516456891,FALSE,NA,NA,NA,NA,FALSE
18489_13,13,18489,25558854,I,3,Reem,6,7,1.43840217,-0.4936123,13,13,0,FALSE,NA,FALSE,-0.00652845692721371,FALSE,NA,NA,NA,NA,FALSE
18489_14,14,18489,25644906,I,3,Reem,6,7,1.43840217,-0.4936123,14,14,0.0157321833248169,FALSE,NA,FALSE,-0.0039334361488379,FALSE,NA,NA,NA,NA,FALSE
18489_15,15,18489,24175510,I,3,Reem,6,7,1.43840217,-0.4936123,15,15,-0.252905468894221,FALSE,NA,FALSE,-0.0094706257745294,FALSE,NA,NA,NA,NA,FALSE
18489_1,1,18489,24064194,I,3,Reem,6,7,1.43840217,-0.4936123,1,1,-0.273256462700121,FALSE,NA,FALSE,-0.00456477580453374,FALSE,NA,NA,NA,NA,FALSE
18489_2,2,18489,21899809,I,3,Reem,6,7,1.43840217,-0.4936123,2,2,-0.668953269345914,FALSE,NA,FALSE,-0.00711137048035404,FALSE,NA,NA,NA,NA,FALSE
18489_3,3,18489,23682789,I,3,Reem,6,7,1.43840217,-0.4936123,3,3,-0.342985619268263,FALSE,NA,FALSE,0.0073921158620438,FALSE,NA,NA,NA,NA,FALSE
18489_4,4,18489,20679223,I,3,Reem,6,7,1.43840217,-0.4936123,4,4,-0.892103024327843,FALSE,NA,FALSE,0.00775202459630098,FALSE,NA,NA,NA,NA,FALSE
18489_5,5,18489,21656981,I,3,Reem,6,7,1.43840217,-0.4936123,5,5,-0.713347526450904,FALSE,NA,FALSE,0.00228267380094582,FALSE,NA,NA,NA,NA,FALSE
18489_6,6,18489,23135851,I,3,Reem,6,7,1.43840217,-0.4936123,6,6,-0.442977820301461,FALSE,NA,FALSE,3.4220890683212e-4,FALSE,NA,NA,NA,NA,FALSE
18489_7,7,18489,22112223,I,3,Reem,6,7,1.43840217,-0.4936123,7,7,-0.630119355099207,FALSE,NA,FALSE,-2.3963317857678e-4,FALSE,NA,NA,NA,NA,FALSE
18489_8,8,18489,20307182,I,3,Reem,6,7,1.43840217,-0.4936123,8,8,-0.960120237365869,FALSE,NA,FALSE,0,FALSE,NA,NA,NA,NA,FALSE
18489_9,9,18489,23463941,I,3,Reem,6,7,1.43840217,-0.4936123,9,9,-0.382995809110098,FALSE,NA,FALSE,-4.0061810402924e-4,FALSE,NA,NA,NA,NA,FALSE
18505_10,10,18505,31233185,C,1,Claudia,3,8,2.33330976,-0.4931594,10,10,1.03739152532993,FALSE,NA,FALSE,0.00173174386691599,FALSE,NA,NA,NA,NA,FALSE
18505_11,11,18505,31852521,C,1,Claudia,3,8,2.33330976,-0.4931594,11,11,1.15061966054653,FALSE,NA,FALSE,0,FALSE,NA,NA,NA,NA,FALSE
18505_12,12,18505,26243505,C,1,Reem,5,8,2.33330976,-0.4931594,12,12,0.125169142443165,FALSE,NA,FALSE,-0.00551508672718093,FALSE,NA,NA,NA,NA,FALSE
18505_13,13,18505,39542724,C,1,Reem,5,8,2.33330976,-0.4931594,13,13,2.55655657544749,FALSE,NA,FALSE,7.0080645124015e-4,FALSE,NA,NA,NA,NA,FALSE
18505_14,14,18505,34024143,C,1,Claudia,3,8,2.33330976,-0.4931594,14,14,1.54763954870957,FALSE,NA,FALSE,-0.00154492007971907,FALSE,NA,NA,NA,NA,FALSE
18505_15,15,18505,30169949,C,1,Reem,5,8,2.33330976,-0.4931594,15,15,0.843008783853327,FALSE,NA,FALSE,-0.00712527492383153,FALSE,NA,NA,NA,NA,FALSE
18505_1,1,18505,43210755,C,1,Claudia,3,8,2.33330976,-0.4931594,1,1,3.22715268167525,TRUE,NA,FALSE,-0.00720894431334962,FALSE,NA,NA,NA,NA,FALSE
18505_2,2,18505,42668519,C,1,Claudia,3,8,2.33330976,-0.4931594,2,2,3.12802010884353,TRUE,NA,FALSE,0,FALSE,NA,NA,NA,NA,FALSE
18505_3,3,18505,47972661,C,1,Claudia,3,8,2.33330976,-0.4931594,3,3,4.09773300714758,TRUE,NA,FALSE,0.0121346949981973,FALSE,NA,NA,NA,NA,FALSE
